zip,county,division,region
02124,Suffolk,MA2RI,Northeast
02125,Suffolk,MA2RI,Northeast
02126,Suffolk,MA2RI,Northeast
02127,Suffolk,MA2RI,Northeast
02128,Suffolk,MA2RI,Northeast
02129,Suffolk,MA2RI,Northeast
02130,Suffolk,MA2RI,Northeast
02131,Suffolk,MA2RI,Northeast
02132,Suffolk,MA2RI,Northeast
02133,Suffolk,MA2RI,Northeast
02134,Suffolk,MA2RI,Northeast
02135,Suffolk,MA2RI,Northeast
02136,Suffolk,MA2RI,Northeast
02137,Suffolk,MA2RI,Northeast
02138,Middlesex,MA1,Northeast
02139,Middlesex,MA1,Northeast
02140,Middlesex,MA1,Northeast
02141,Middlesex,MA1,Northeast
02142,Middlesex,MA1,Northeast
02143,Middlesex,MA1,Northeast
02144,Middlesex,MA1,Northeast
02145,Middlesex,MA1,Northeast
02148,Middlesex,MA1,Northeast
02149,Middlesex,MA1,Northeast
02150,Suffolk,MA2RI,Northeast
02151,Suffolk,MA2RI,Northeast
02152,Suffolk,MA2RI,Northeast
02153,Middlesex,MA1,Northeast
02155,Middlesex,MA1,Northeast
02156,Middlesex,MA1,Northeast
02163,Suffolk,MA2RI,Northeast
02169,Norfolk,MA2RI,Northeast
02170,Norfolk,MA2RI,Northeast
02171,Norfolk,MA2RI,Northeast
02176,Middlesex,MA1,Northeast
02180,Middlesex,MA1,Northeast
02184,Norfolk,MA2RI,Northeast
02185,Norfolk,MA2RI,Northeast
02186,Norfolk,MA2RI,Northeast
02187,Norfolk,MA2RI,Northeast
02188,Norfolk,MA2RI,Northeast
02189,Norfolk,MA2RI,Northeast
02190,Norfolk,MA2RI,Northeast
02191,Norfolk,MA2RI,Northeast
02196,Suffolk,MA2RI,Northeast
02199,Suffolk,MA2RI,Northeast
02201,Suffolk,MA2RI,Northeast
02203,Suffolk,MA2RI,Northeast
02204,Suffolk,MA2RI,Northeast
02205,Suffolk,MA2RI,Northeast
02206,Suffolk,MA2RI,Northeast
02207,Suffolk,MA2RI,Northeast
02210,Suffolk,MA2RI,Northeast
02211,Suffolk,MA2RI,Northeast
02212,Suffolk,MA2RI,Northeast
02215,Suffolk,MA2RI,Northeast
02216,Suffolk,MA2RI,Northeast
02217,Suffolk,MA2RI,Northeast
02222,Suffolk,MA2RI,Northeast
02228,Suffolk,MA2RI,Northeast
02238,Middlesex,MA1,Northeast
02239,Middlesex,MA1,Northeast
02241,Suffolk,MA2RI,Northeast
02266,Suffolk,MA2RI,Northeast
02269,Norfolk,MA2RI,Northeast
02283,Suffolk,MA2RI,Northeast
02284,Suffolk,MA2RI,Northeast
02293,Suffolk,MA2RI,Northeast
02295,Suffolk,MA2RI,Northeast
02297,Suffolk,MA2RI,Northeast
02298,Suffolk,MA2RI,Northeast
02301,Plymouth,MA2RI,Northeast
02302,Plymouth,MA2RI,Northeast
02303,Plymouth,MA2RI,Northeast
02304,Plymouth,MA2RI,Northeast
02305,Plymouth,MA2RI,Northeast
02322,Norfolk,MA2RI,Northeast
02324,Plymouth,MA2RI,Northeast
02325,Plymouth,MA2RI,Northeast
02327,Plymouth,MA2RI,Northeast
02330,Plymouth,MA2RI,Northeast
02331,Plymouth,MA2RI,Northeast
